Systematic ID,mean_area,sd_area,z_score,cv,ind
SPAC1002.20,598.9231547017189,316.8046387532509,0.15054164579250282,0.5289570728168438,NA
SPAC11E3.10,595.9875287167706,323.70505446778003,0.13958837451806866,0.5431406512226088,NA
SPAC11E3.12,460.47382861967077,280.02710191823763,-0.3660340467904835,0.6081281595474268,NA
SPAC1296.04,396.3793183399026,261.4646091266258,-0.6051805054660356,0.6596323194198923,NA
SPAC13A11.03,523.8595242935556,302.4546818003631,-0.1295322842381187,0.5773583714226341,NA
SPAC13G7.03,518.5209411764706,307.3120371736081,-0.14945135751324398,0.5926704454334066,NA
SPAC13G7.07,643.2331670822942,341.95910489417895,0.3158691051713344,0.5316254235541141,NA
SPAC13G7.11,521.7073785517873,301.6270519231745,-0.13756227043274016,0.5781537013343842,NA
SPAC1420.03,535.59209486166,325.4827406754377,-0.08575626207528382,0.6077063940973733,NA
SPAC1486.01,699.1777456647399,335.0023096249327,0.5246069173753721,0.4791375464996113,NA
SPAC15E1.09,824.4888888888889,378.7861112579189,0.9921620325300576,0.4594193037196472,up
SPAC16E8.18,718.6955145118734,350.0462074422032,0.5974307096263188,0.48705773220241816,NA
SPAC1751.04,517.5969101123595,341.90052121803967,-0.15289905928557693,0.6605536365041673,NA
SPAC1782.04,611.7443786982249,337.3338427961673,0.19837960104431576,0.5514294116016307,NA
SPAC1786.04,520.2676174496644,317.5940682659101,-0.1429342401600788,0.6104436594050314,NA
SPAC1805.08,931.7763157894736,567.8753347262382,1.3924678947902445,0.6094545709128589,NA
SPAC1952.02,596.5704039260098,219.40577613093487,0.14176317141613196,0.3677785131260834,NA
SPAC19D5.11c,740.3846153846154,386.5132502116414,0.6783560750426817,0.5220438704157234,NA
SPAC1D4.11c,514.7746348249478,340.0800252976401,-0.163429401704077,0.6606386606699965,NA
SPAC1F8.08,589.1625227410552,340.84715018170414,0.11412322933781094,0.5785282278240074,NA
SPAC212.03,888.6192170818505,474.34209103525717,1.2314421333390773,0.5337967961045857,up
SPAC227.14,531.496943231441,330.3132045577053,-0.10103590156127927,0.6214771482022804,NA
SPAC22F3.07c,519.6524460550156,392.9786683828813,-0.14522953908453584,0.7562336545631821,NA
SPAC22H10.02,784.6674311926605,399.5744277613596,0.8435820598337471,0.5092277465295377,NA
SPAC23A1.03,685.9774859287054,414.82478175429696,0.4753547215837056,0.6047206945759883,NA
SPAC23C11.08,547.871,197.57361896657005,-0.0399417817488158,0.3606206916711599,NA
SPAC23C11.10,638.3557692307693,318.9134517948216,0.297670784930605,0.49958575948818995,NA
SPAC23C4.16c,564.9703479576399,303.97599017310205,0.02385851084849604,0.5380388391567293,NA
SPAC23C4.17,574.3901098901099,337.42183983226545,0.05900508889213949,0.5874436798656225,NA
SPAC25B8.10,494.45273444841195,310.61350605006004,-0.23925353215445025,0.6281965583557056,NA
SPAC27E2.01,519.7546607009695,343.5487946590142,-0.14484816054684305,0.6609826147507472,NA
SPAC27F1.10,581.1948051948052,324.5973206932308,0.08439445184039991,0.5585000378391752,NA
SPAC29A4.14c,769.6579925650558,415.2915493548181,0.7875795398233439,0.5395793370127515,NA
SPAC29A4.17c,746.5049504950495,431.3199164613404,0.701191985032152,0.5777857416421792,NA
SPAC2C4.09,904.8387909319899,641.6751867980466,1.2919598536642114,0.7091596793027816,up
SPAC2F3.12c,796.7835294117647,381.66163954910763,0.8887890825478055,0.4790029229530812,NA
SPAC2F3.18c,781.224924012158,431.62705601588965,0.8307375369941334,0.5525003654506706,NA
SPAC343.20,753.9915809167446,353.83487695296833,0.7291257526036035,0.4692822650920801,NA
SPAC3A12.08,570.0844669408415,346.87087662833676,0.04294007397675247,0.6084552320635883,NA
SPAC3G6.02,629.6524883028499,202.45357847478726,0.26519750752064564,0.3215322455414665,NA
SPAC3G6.13c,617.9154228855722,330.83242004019417,0.2214047143854236,0.5354008134240387,NA
SPAC4G9.06c,675.9606112054329,379.4789486921928,0.43798022403920334,0.5613921024414016,NA
SPAC57A10.14,748.3916666666667,451.5620600650042,0.7082316127475161,0.6033766544679201,NA
SPAC589.11,729.8805429864253,340.95591898140583,0.6391637681706267,0.467139345277419,NA
